team,turnovers,blocks,home_team,home_score,away_team,away_score,completions,total_passes,o_line_scores,o_line_points,o_line_posessions,d_line_scores,d_line_points,d_line_posessions,rz_scores,rz_posessions,huck_completions,huck_attempts,season,is_home_team
Spiders,15,7,SEA,14,SJ,22,314,329,12,16,22,10,24,18,,,,,2014,False
FlameThrowers,22,17,SLC,25,SF,33,44,66,20,27,31,13,35,28,,,,,2014,False
Lions,31,10,SLC,25,SF,33,347,378,20,35,48,4,26,8,,,,,2014,True
Rush,19,23,TOR,29,PHI,15,269,288,15,17,25,14,31,26,,,,,2014,True
Phoenix,35,7,TOR,29,PHI,15,250,285,13,31,40,2,17,11,,,,,2014,False
Dragons,40,9,ROC,9,NY,25,259,299,7,27,40,2,11,10,,,,,2014,True
Empire,23,17,ROC,9,NY,25,260,283,7,11,19,18,27,33,,,,,2014,False
Spiders,21,13,VAN,25,SJ,37,247,268,23,27,36,14,39,24,,,,,2014,False
Riptide,33,12,VAN,25,SJ,37,284,317,22,39,48,3,27,13,,,,,2014,True
FlameThrowers,20,14,SLC,22,SF,31,52,72,18,24,32,13,33,23,,,,,2014,False
Lions,30,10,SLC,22,SF,31,317,347,18,33,41,4,24,12,,,,,2014,True
Phoenix,29,5,MTL,31,PHI,19,310,339,13,33,43,6,21,8,,,,,2014,False
Royal,16,16,MTL,31,PHI,19,275,291,14,21,23,17,33,28,,,,,2014,True
Empire,26,9,TOR,21,NY,18,230,256,13,23,33,5,20,14,,,,,2014,False
Rush,22,17,TOR,21,NY,18,286,308,11,20,26,10,23,20,,,,,2014,True
AlleyCats,18,5,IND,23,CIN,22,225,243,16,24,30,7,25,14,,,,,2014,True
Revolution,17,8,IND,23,CIN,22,261,278,16,25,29,6,24,10,,,,,2014,False
Wind Chill,13,15,MIN,22,CHI,19,327,340,15,21,26,7,24,13,,,,,2014,True
Union,17,6,MIN,22,CHI,19,219,236,15,24,28,4,21,11,,,,,2014,False
Radicals,14,12,MAD,24,CHI,19,263,277,15,21,27,9,26,15,,,,,2014,True
Union,21,9,MAD,24,CHI,19,296,317,17,26,32,2,21,9,,,,,2014,False
Spiders,30,11,SJ,24,SEA,21,206,236,16,23,41,8,26,16,,,,,2014,True
Cascades,34,12,SJ,24,SEA,21,262,296,16,26,33,5,23,23,,,,,2014,False
Royal,14,4,MTL,24,PHI,19,165,179,16,21,26,8,25,13,,,,,2014,True
Phoenix,27,13,MTL,24,PHI,19,288,315,15,26,33,4,21,16,,,,,2014,False
Rush,21,12,MTL,18,TOR,31,262,283,13,20,27,18,33,28,,,,,2014,False
Royal,34,7,MTL,18,TOR,31,253,287,12,33,41,6,20,13,,,,,2014,True
Cascades,40,13,SF,23,SEA,17,195,235,12,25,41,5,19,19,,,,,2014,False
FlameThrowers,34,14,SF,23,SEA,17,270,304,13,19,32,10,25,27,,,,,2014,True
Dragons,30,19,ROC,16,PHI,17,224,254,12,19,27,4,18,22,,,,,2014,True
Phoenix,30,12,ROC,16,PHI,17,308,338,11,18,34,6,19,14,,,,,2014,False
Empire,26,12,DC,31,NY,26,257,283,20,33,39,6,28,15,,,,,2014,False
Breeze,20,13,DC,31,NY,26,276,296,19,28,34,12,33,19,,,,,2014,True
Radicals,21,18,MAD,23,MIN,15,245,266,12,17,23,11,25,25,,,,,2014,True
Wind Chill,28,13,MAD,23,MIN,15,315,343,11,25,36,4,17,10,,,,,2014,False
AlleyCats,24,14,DET,19,IND,27,236,260,13,21,26,14,29,27,,,,,2014,False
Mechanix,32,7,DET,19,IND,27,272,304,14,29,42,5,21,11,,,,,2014,True
Lions,50,10,SEA,35,SLC,11,303,353,11,37,58,0,13,4,,,,,2014,False
Cascades,26,30,SEA,35,SLC,11,262,288,11,13,16,24,37,47,,,,,2014,True
Dragons,40,8,TOR,38,ROC,18,270,310,12,40,49,6,20,10,,,,,2014,False
Rush,19,25,TOR,38,ROC,18,257,276,14,20,24,24,40,36,,,,,2014,True
Breeze,21,12,DC,25,MTL,24,248,269,17,26,33,8,27,16,,,,,2014,True
Royal,22,7,DC,25,MTL,24,293,315,16,27,31,8,26,16,,,,,2014,False
Radicals,16,23,MAD,28,CIN,15,274,290,14,17,22,14,30,26,,,,,2014,True
Revolution,33,6,MAD,28,CIN,15,102,135,13,30,40,2,17,8,,,,,2014,False
Lions,55,10,VAN,37,SLC,9,276,331,9,39,63,0,11,4,,,,,2014,False
Spiders,11,5,SJ,33,SF,30,232,243,26,32,36,7,35,12,,,,,2014,True
FlameThrowers,16,4,SJ,33,SF,30,328,344,27,35,38,3,32,9,,,,,2014,False
Royal,28,9,NY,24,MTL,16,258,286,11,26,35,5,18,13,,,,,2014,False
Empire,22,20,NY,24,MTL,16,264,286,11,18,25,13,26,23,,,,,2014,True
Radicals,19,18,IND,12,MAD,23,232,251,10,14,18,13,25,26,,,,,2014,False
AlleyCats,31,5,IND,12,MAD,23,322,353,11,25,38,1,14,6,,,,,2014,True
Union,27,22,CHI,26,DET,13,212,239,9,15,27,17,28,28,,,,,2014,True
Mechanix,32,10,CHI,26,DET,13,264,296,10,22,30,3,15,18,,,,,2014,False
Wind Chill,15,19,MIN,30,CIN,18,398,413,16,20,24,14,32,24,,,,,2014,True
Revolution,28,5,MIN,30,CIN,18,201,229,14,32,39,4,20,8,,,,,2014,False
Riptide,34,11,SF,20,VAN,16,202,236,11,22,33,5,18,20,,,,,2014,False
FlameThrowers,32,13,SF,20,VAN,16,251,283,10,18,33,10,22,22,,,,,2014,True
Phoenix,30,11,PHI,16,NY,27,324,354,15,29,39,1,18,9,,,,,2014,True
Empire,19,13,PHI,16,NY,27,239,258,15,18,26,12,29,22,,,,,2014,False
Royal,24,16,ROC,19,MTL,22,243,267,13,21,29,9,24,21,,,,,2014,False
Dragons,29,13,ROC,19,MTL,22,238,267,14,24,35,5,21,13,,,,,2014,True
Spiders,20,13,SJ,26,VAN,25,249,269,20,27,34,6,28,14,,,,,2014,True
Riptide,21,10,SJ,26,VAN,25,268,289,20,28,35,5,27,13,,,,,2014,False
Cascades,40,23,SLC,15,SEA,22,250,290,10,17,34,12,24,32,,,,,2014,False
Rush,17,11,TOR,25,MTL,20,237,254,16,22,27,9,27,18,,,,,2014,True
Royal,24,10,TOR,25,MTL,20,294,318,15,27,33,5,22,13,,,,,2014,False
Revolution,33,9,CIN,12,MAD,29,347,380,11,31,41,1,14,6,,,,,2014,True
Radicals,17,23,CIN,12,MAD,29,231,248,13,14,20,16,31,29,,,,,2014,False
Mechanix,34,15,DET,17,CHI,31,270,304,17,33,51,0,19,2,,,,,2014,True
Union,19,8,DET,17,CHI,31,185,204,17,19,19,14,33,32,,,,,2014,False
Cascades,30,10,SEA,16,VAN,21,272,302,11,23,33,5,18,15,,,,,2014,True
Riptide,25,27,SEA,16,VAN,21,213,238,10,18,26,11,23,22,,,,,2014,False
Royal,19,7,NY,26,MTL,21,299,318,19,28,36,2,23,6,,,,,2014,False
Empire,15,13,NY,26,MTL,21,267,282,20,23,26,6,28,18,,,,,2014,True
Mechanix,34,9,DET,18,MIN,29,272,306,15,31,37,3,20,19,,,,,2014,True
Wind Chill,21,25,DET,18,MIN,29,291,312,14,20,32,15,31,21,,,,,2014,False
Breeze,26,19,ROC,21,DC,26,274,300,18,23,31,8,28,23,,,,,2014,False
Dragons,31,5,ROC,21,DC,26,314,345,17,28,42,4,23,12,,,,,2014,True
Royal,20,27,PHI,15,MTL,23,171,191,12,17,26,11,25,19,,,,,2014,False
Phoenix,33,13,PHI,15,MTL,23,345,378,12,25,40,3,17,10,,,,,2014,True
Revolution,24,11,CIN,25,MIN,26,284,308,19,28,39,6,28,12,,,,,2014,True
Wind Chill,22,16,CIN,25,MIN,26,345,367,20,28,34,6,28,19,,,,,2014,False
Rush,20,18,TOR,27,DC,17,237,257,12,19,25,16,30,26,,,,,2014,True
Breeze,30,10,TOR,27,DC,17,320,350,11,29,36,6,19,12,,,,,2014,False
Radicals,19,12,MAD,15,CHI,12,226,245,10,14,23,5,17,14,,,,,2014,True
Union,23,7,MAD,15,CHI,12,240,263,11,17,25,1,14,13,,,,,2014,False
Radicals,22,11,CHI,15,MAD,14,221,243,8,17,25,6,16,13,,,,,2014,False
Union,21,10,CHI,15,MAD,14,300,321,7,16,22,8,17,17,,,,,2014,True
Cascades,27,15,SEA,26,SLC,13,246,273,10,15,25,16,28,30,,,,,2014,True
Royal,26,23,MTL,27,ROC,14,246,272,15,16,21,12,29,33,,,,,2014,True
Dragons,37,11,MTL,27,ROC,14,196,233,13,29,48,1,16,6,,,,,2014,False
Breeze,19,9,DC,25,PHI,21,173,192,16,23,26,9,27,19,,,,,2014,True
Phoenix,23,8,DC,25,PHI,21,374,397,16,27,37,5,23,8,,,,,2014,False
Lions,36,12,VAN,40,SLC,28,290,326,19,42,52,8,29,13,,,,,2014,False
Riptide,24,20,VAN,40,SLC,28,272,296,18,30,33,22,42,33,,,,,2014,True
